NameString,RefString
"Onthophagus cribratus Lansberge, 1883","Lansberge J.W. van. Revision des Onthophagus de l'Archipel Indo-Neerlandais, avec description des especes nouvelles. Notes from the Leyden Museum. Leyden 5:41-82; 145-149. (1883)."
"Marmosops juninensis (Tate, 1931)",
"Vespa ochrosticta Licht., 1796",
"Physcomitrium platyphylloides Paris, 1905",Paris. Index Bryol. (ed. 2). (1905).
Meniscium guyanense Fée,Fée. In: Gen. 224. (1850-52).
"Homoneura latifrons Malloch, 1927",
"Lonchodes bobaiensis (S.C.Chen, 1986)",
Passiflora lyra Planch. & Linden ex Killip,"Killip. In: Journ. Wash. Acad. Sc., 20: 377. (1930)."
"Eurycope truncata Richardson, 1908",
Aloe tenuior var. viridifolia van Jaarsv.,van Jaarsv. In: Aloe 44: 60. (2007).
"Tricholoma groanense Viola, 1959","Viola, S. In: Atti Soc. ital. Sci. nat. 98:142. (1959)."
"Hypsioma albisparsa Lacordaire, 1872",LACORDAIRE Jean Théodore. Histoire Naturelle des Insectes. Genera des Coléoptères ou exposé méthodique et critique de tous les genres proposés jusqu'ici dans cet ordre d'insectes. Famille LXVIII. Longicornes. (suite). Sous-famille III. LAMIIDES. Paris. Librairie Encyclopédique de Roret. 9 (2): 411-930. (1872).
"Dichomeris stratella Walsingham, 1897",
Eupritchardia lanigera (Becc.) Kuntze,Kuntze. In: Revis. Gen. Pl. 3(2): 323. (1898).
Campomanesia eugenioides (Cambess.) Diego Legrand,"Diego Legrand. In: Not. Syst., Paris, 15: 274. (1958)."
"Drosophila denticulata Bock & Wheeler, 1972",
Epicranthes glebodactyla W.Suarez & Cootes,W.Suarez & Cootes. In: OrchideenJ. 16: 118. (2009).
"Parendymia pilipes Kirsch, 1877",
"Neptis soma sumatrensis van Eecke, 1918",
"Conocybe cettoiana Hauskn. & Enderle, 1992","Hausknecht, A.; Enderle, M. Conocybe-Pholiotina-Studien III: Drei neue Conocybe-Arten aus Italien. In: Z. Mykol. 58(2):197. (1992)."
"Vidua fischeri (Reichenow, 1882)",
"Cortinarius hebelomoides J.Favre, 1960","Favre, J. In: Ergebn. wiss. Unters. schweiz. NatnParks 6:528, 588. (1960)."
Trachyspermum arabiae-felicis C.C.Townsend,C. C. Townsend. In: Kew Bull. 32: 320. (1978).
Lecythis alba Aubl. ex S.A.Mori,Aubl. ex S.A.Mori. In: Brittonia 30: 113. (1978).
"Prosipho glacialis Thiele, 1912",
