NameString,RefString
"Stereum armeniacum Boidin & Gilles, 1989","Boidin, J.; Gilles, G. Basidiomycètes Aphyllophorales de l'Ile de la Réunion: XIII et XIV. XIII. Le genre Stereum Pers.: S.F. Gray (1). XIV. Le genre Sphaerobasidium Oberw. In: Bull. trimest. Soc. mycol. Fr. 105(2):140. (1989)."
"Argyropelecus amabilis (Ogilby, 1888)",
"Sinezona finlayi (Laws, 1948)",
Rhaphidophora puberula Engl.,Engl. In: Bot. Jahrb. Syst. 1: 180. (1880).
Megarthroides,
Chingiacanthus glaber Hand.-Mazz.,"Hand.-Mazz. In: Sinensia, 5: 12. (1934)."
"Glenea (Glenea) pici Breuning, 1956","BREUNING Stephan. Revision der Gattung Glenea Newm. (1. Fortsetzung). Entomologischen Arbeiten aus dem Museum G. Frey, Tutzing bei München 7 (2): 671-893. (1956)."
"Mecysmoderes tschungseni Voss, 1958",
Epithetica,
"Calanus australis pacificus Brodsky, 1959",
"Nienna qinghaiensis Bu & Yin, 2008","Bu, Yun, and Wen Ying Yin. Occurrence of Nosekiella Rusek 1974 and Nienna Szeptycki 1988 (Protura: Nipponentomidae: Verrucoentominae) in China. Annales de la Société Entomologique de France (n. s.), vol. 44, no. 2. (2008)."
"Pleosphaeria polygalincola Ade, 1923","Ade, A. In: Hedwigia 64:292. (1923)."
"Eumecia johnstoni (Boulenger, 1897)",
"Coitocaecum indicum (Gupta & Ahmad, 1978)",
"Anisothecium macrostomum Brotherus, 1924",Brotherus. Nat. Pflanzenfam. (ed. 2). (1924).
Arrhenechthites haplogyna (F.Müll.) Mattf.,Mattf. In: Engl. Jahrb. 69: 292. (1938).
"Melanopsis subhercynica Mertin, 1939",
Thalictrum simplex var. angustisectum Neilr.,
Strongylodon madagascariensis Baker,
"Proterorhynus marmoratus (Pallas, 1814)",
"Paraplesiataenius tremolerasi (Schmidt, 1911)",Schmidt A. Eine serie neuer Aphodiinen. Stettiner entomologische Zeitung. Stettin 72:1-51. (1911).
"Mecometopus troglodytes Lacordaire, 1869",LACORDAIRE Jean Théodore. Histoire Naturelle des Insectes. Genera des Coléoptères ou exposé méthodique et critique de tous les genres proposés jusqu'ici dans cet ordre d'insectes.. Famille des longicornes (suite). Paris. Librairie Encyclopédique de Roret. 9 (1): 1-409. (1869).
Thalictrum thunbergii var. hypoleucum (Siebold & Zucc.) Nakai,Nakai. In: Bot. Mag. (Tokyo) 42: 3. (1928).
"Russula griseoviridis McNabb, 1973","McNabb, R.F.R. In: N.Z. Jl Bot. 11(4):701. (1973)."
"Philotoceraeoides multilineatus Breuning, 1957",
Orchis bractealis,Salisb. In: Parad. Lond. 2: t. 110. (1808).
"Cheiracanthium echinulatum Zhang, Zhang & Yu, 2018","Zhang, J. S., Zhang, G. R., Yu, H. Four species of spider genus Cheiracanthium C. L. Koch, 1839 (Araneae, Eutichuridae) from Jinggang Mountains, Jiangxi Province, China. ZooKeys 762: 33-45. (2018)."
"Tauchira gracilis C.Willemse, 1931",
"Aphodius panamensis Harold, 1859",
"Clinidium (Arctoclinidium) apertum Reitter, 1880","REITTER, Edmund R.H. Einige neue Coleopteren. -. Verhandlungen des Naturforschenden Vereines in Brünn, 18: 29-33. (Brünn). (1880)."
"Gabrius peninsula Tottenham, 1962","Tottenham, C. E. Coleoptera Staphylinidae Staphylininae. Mission zoologique de l'I.R.S.A.C. en Afrique orientale (P. Basilewsky et N. Leleup, 1957). LXXVI. Annales du Musée Royal de l'Afrique Centrale, Tervuren (Série 8º: Sciences Zoologiques), 110: 132-258. (1962)."
Agrostophyllum bilobolabellatum Gilli,"Gilli. In: Ann. Naturhist. Mus. Wien, B 84: 15. (1980 publ. 1983)."
Papaver gorgoneum theresias J.W.Kadereit & W.Lobin,
"Aegomomus litigiosus Pascoe, 1864","PASCOE Francis Polkinghorne. Longicornia Malayana ; or, a Descriptive Catalogue of the Species of the three Longicorn Families Lamiidæ, Cerambycidæ and Prionidæ collected by Mr. A. R. Wallace in the Malay Archipelago. (Part I). The Transactions of the Entomological Society of London 3 (3) 1: 1-96, pls I-V. (1864)."
Vittaria microlepis Hieron.,Hieron. In: Hedwigia 57: 202. (1916).
Bulbophyllum stellulamontis J.J.Verm. & A.L.Lamb,J.J.Verm. & A.L.Lamb. In: Malesian Orchid J. 11: 97. (2013).
"Evodinus punctatus var. reductemaculatus Pic, 1915","PIC Maurice. Notes diverses, descriptions et diagnoses (Suite.). L'Échange, Revue Linnéenne 31 (371): 41-42. (1915)."
"Cydistomyia mackerrasi Philip, 1960",
Thesidium exocarpaeoides Sond.,"Sond. In: Flora, 40: 365. (1857)."
Stroganowia cardiophylla Pavlov,
"Iridagonum laeve Louwerens, 1969","LOUWERENS, C.J. Some South Pacific Carabidae with descriptions of new Agonini of the Bismarck Islands. -. Pacific Insects, 11 (3-4): 769-778. (1969)."
"Elymnias kamara Moore, 1857",
"Notophthiracarus (Calyptophthiracarus) costai (Macfarlane & Sheals, 1965)",
Indolagus,
Acaena basibullata Bitter,Bitter. In: Biblioth. Bot. 74: 228. (1910).
"Isaria sphingum Schwein., 1822","Schweinitz, L.D. von. In: Schr. naturf. Ges. Leipzig 1:126 (100 of repr.). (1822)."
"Pocillopora meandrina var. nobilis Verrill, 1864","Scheer, G.; Pillai, C. S. G. Report on Scleractinia from the Nicobar Islands. Zoologica, Stuttgart. 42(122): 1-75. (1974)."
Xeromantispa,
"Dinotrema ussuricum Tobias, 2007","Belokobylskij, S.A.; Tobias, V.I. Alysiinae. (in Russian). In: A.S. Lelej (ed.) 'Key to the insects of Russia Far East. Vol.IV. Neuropteroidea, Mecoptera, Hymenoptera. Pt 5.' Vladivostok: Dalnauka. 1052 pp. pp.9-133. (2007)."
"Kramerolidia merus Van Duzee, 1907",
"Coraebus nipponicola Obenberger, 1914",
"Physalospora paulowniae S.Ito & Kobayasi, 1951",S. Ito & Kobayasi. In: Bull. Govt Forest Exp. Stn Meguro 49:85. (1951).
"Mycetoporus debilis Mäklin, 1847","Mäklin, F. G. Ad cognitonem specierum Fennicarum generis Mycetopori Symbola, quas Venia Amplissimi Ordinis Philosophorum Universitatis in Fennia Alexandrinae, praeside Johanne Magno a Tengström, Phil. et Med. Doct., Zoolog. et Botan. Prof. publ. et ord. Imp. +. Helsingforsiae: Frenckelliana. 16 pp. (1847)."
"Ommatius hecale Walker, 1849",
"Penelope ochrogaster Pelzeln, 1870",
"Ctenomorpha haworthii G.R.Gray, 1835",
"Holospira (Holospira) aurantiaca F.G.Thompson & Mihalcik, 2005",
Bertramia,
"Chinapenetretus (Chinapenetretus) potanini (Kurnakov, 1963)",
Cynanchum stoloniferum (B.R.Adams & R.W.K.Holland) Goyder,Goyder. In: Kew Bull. 63(3): 471. (2009).
"Floresorchestia laurenae Lowry & Springthorpe, 2015",
"Acanthococcus chilos Miller & Miller, 1993",
Duckera taitensis (Guillem.) F.A.Barkley,"F. A. Barkley. In: Lilloa, 23: 253. (1950)."
Saussurea microcephala var. pteroclada Nakai & Kitag.,"Nakai & Kitag. In: Rep. Exped. Manchoukuo Sect. IV, 1: 63. (1934)."
"Cyphus sexdecimpunctatus Sturm, 1826",
Asplenium hookerianum var. baileyanum Domin,Domin. In: Bibl. Bot. 85: 102. (1913).
"Morganella polyctena Takagi, 2003",
"Psen gussakovskiji de Beaumont, 1941",
"Trionymus americanus (Cockerell, 1899)",
"Sericeomyces sericifer (Locq.) Døssing, 1991","Knudsen, H.; Hansen, L. (eds). New taxa and combinations in the Agaricales, Boletales and Polyporales. In: Nordic Jl Bot. 11(4):481. (1991)."
Eupatorium sinense J.Gmel.,J. Gmel. In: Syst. Nat. 1198 1791. (1792).
"Labidocera brasiliense Farran, 1929",
Epidendrum pollardii Hágsater,Hágsater. In: Icon. Orchid. 2: t. 176. (1993).
Stipa vaginata f. rigida F.A.Roig,F.A.Roig. In: Revista Fac. Ci. Agrar. Univ. Nac. Cuyo 11: 54. (1964 publ. 1966).
Nehypochthonius,
Xhosores,
"Globigerina clarkei Rögl & Bolli, 1973","Rögl, F.; Bolli, H. Holocene to Pleistocene Planktonic Foraminifera of Leg 15, Site 147 (Cariaco Basin [Trench], Caribbean Sea) and Their Climatic Interpretation. Initial Reports of the Deep Sea Drilling Project, 15. (1973)."
"Siphonogorgia robusta Thomson & Mackinnon, 1910",
"Baseodiscus antillensis (Bürger, 1895)",
Thuja cupressoides L.,L. In: Mant. Pl. 1: 125. (1767).
"Unio spillmanii I.Lea, 1861",InvertEBase. Authority files of U.S. and Canadian land and freshwater mollusks developed for the InvertEBase project (invertebase.org). (2015).
"Mitra (Nebularia) fulvescens Broderip, 1836","Drivas, J.; Jay, M. Coquillages de La Réunion et de l'Île Maurice. Collection Les Beautés de la Nature. (1987)."
"Enea signicosta Walker, 1864",
Conanthera,
Aramides,
"Venus bilineata Reeve, 1863","Coan, E. V.; Valentich-Scott, P. Bivalve seashells of tropical West America. Marine bivalve mollusks from Baja California to northern Peru. (2012)."
"Rosellinia andina Speg., 1909","Spegazzini, C.L. In: Anal. Mus. nac. B. Aires, Ser. 3 12:337. (1909)."
Poa paniciformis A.Braun,A.Braun. In: Flora 24: 274. (1841).
Xanthosoma belophyllum var. caracassanum K.Koch,"K.Koch. In: Index Seminum (B, Berolinensis) 1854(App.): 2. (1855)."
"Otiorhynchus (Lolatismus) porcatus (Herbst, 1795)","Herbst J.F.W. Natursystem aller bekannten in- und auslandischen Insekten, als eine Fortsetzung der von Buffonschen Naturgeschichte. Der Kafer. Vol. 6 Berlin, Pauli, xxiv + 520 pp. + pl. LX–XCV. (1795)."
Bromopsis erecta longiflora (Willd. ex Spreng.) Dostál,"Dostál. In: Folia Mus. Rerum Nat. Bohemiae Occid., Bot. 21: 16. (1984)."
Escadabius,
Ranunculus hirtellus var. glabricaulis Hand.-Mazz.,Hand.-Mazz. In: Acta Horti Gothob. 13(4): 151-152. (1939).
"Megachile poeyi Guérin-Méneville, 1845",
"Gaimardia trapesina (Lamarck, 1819)",
"Seps fragilis Raddi, 1826",
"Trichiolaus mermeros (Mabille, 1878)",
"Melanagromyza solanidis Spencer, 1959",
"Carapoia munduruku Huber, 2018","Huber, B. A. The South American spider genera Mesabolivar and Carapoia (Araneae, Pholcidae): new species and a framework for redrawing generic limits. Zootaxa 4395(1): 1-178. (2018)."
"Leucoptera puerariella Kuroko, 1964",
"Lissonotus unidentatus Dalman, 1817","SCHÖNHERR Carl Johann. Synonymia insectorum, oder : Versuch einer Synonymie Aller bisher bekannten Insecten ; nach Fabricii Systema Eleutheratorum &:c. geordnet. Skara, Lewerentzischen Buchdrükerey 1 (3): xi + 1-506. (1817)."
"Microlophus stolzmanni (Steindachner, 1891)",
"Apteroessa grossa (Fabricius, 1781)",
"Agyrtodes flaviceps Seago, 2009","Seago, A. E. Revision of Agyrtodes Portevin (Coleoptera: Leiodidae). Coleopterists Society Monograph, 7: 1-73. (2009)."
"Domingomiris coloradensis Carvalho, 1980","Carvalho, J. C. M. Mirideos neotropicais, CCXXI: descriçoes de dois generos novos da subfamilia Bryocorinae (Hemiptera). Revista Brasileira de Biologia 40: 431--434. (1980)."
"Rhingiopsis jamesi Barretto, 1947",
Cicada pygmaea,"Walker, F. List of the specimens of homopterous insects in the collection of the British Museum. (Published by) Order of Trustees. London. 1: 1-260. pl. 1-2. (1850)."
"Charaxes zoolina Westwood, 1850",
"Haplochromis dentex Regan, 1922",
Leptopharynx parryi (A.Gray) Rydb.,Rydb. In: N. Amer. Fl. 34: 22. (1914).
"Hemicytherura propria Hao (Yi-Chun) in Ruan & Hao (Yi-Chun), 1988",
"Comusia fumifera Holzschuh, 2005",
Cypripedium cruciforme Zoll. & Moritzi,W.H.De Vriese. In: Ill. Orchid. Ind. Orient.: t. 6. (1854).
Selaginella lychnuchus Spring ex Kl.,"Kl. In: Linn. 20: 435 (1847), nomen, ex Spring, Monogr. Lyc. 2: 247, no. 186. (1850)."
"Diplodina albanica Bubák, 1906","Bubák, F. In: Bull. Herb. Boissier, 2 sér. 6:476. (1906)."
"Phyllosticta correae McAlpine, 1903","McAlpine, D. In: Proc. Linn. Soc. N.S.W. 28(3):556. (1903)."
Limonium acutifolium tharrosianum (Arrigoni & Diana) Arrigoni,Arrigoni. In: Parlatorea 7: 19. (2005).
Rhodiola eurycarpa (Fröderstr.) Fu,"Fu. In: Acta Phytotax. Sin., Addit. 125. (1965)."
"Bibloporellus thoracicus Jeannel, 1952","Jeannel, R. Psélaphides recueillis par N. Leleup au Congo Belge. IV.-Faune de l'Itombwe et de la Forêt du Rugege. Annales du Musée Royal du Congo Belge, Tervuren (Série 8º: Sciences Zoologiques), 11: 1-295. (1952)."
Orchis sambucina insularis (Sommier) Briq.,Briq. In: Prodr. Fl. Corse 1: 371. (1910).
Cirsium walkerianum Petr.,"Petr. In: Beih. Bot. Centralbl. 35, Ab. 2: 405. (1917)."
"Ostracolethe punctata (Collinge, 1901)",
"Casanovula minotaurus (Hoarean Nieukerken, 2013) van Nieukerken et al., 2016","Nieukerken EJ van, Doorenweerd C, Hoare RJB, Davis DR. Revised classification and catalogue of global Nepticulidae and Opostegidae (Lepidoptera: Nepticuloidea). ZooKeys 628: 65-246. doi: 10.3897/zookeys.628.9799. (2016)."
Chaenothecopsis edbergii Selva & Tibell,Selva & Tibell in Selva & Tibell. In: Bryologist Vol.: 102 Issue: 3 p. 381. (1999).
"Cerobertina afueraensis McCulloch, 1977",
"Endelus carteri Holynski, 2003",
"Asterotus graminum Singer, 1969","Singer, R. In: Beih. Nova Hedwigia 29:57. (1969)."
"Cistenides okudai Imajima & Hartman, 1964",
Gnotus,
Astragalus leucolobus Parry ex M.E.Jones,"M. E. Jones. In: Zoe, 4: 270. (1893)."
"Copris breve Germar, 1824",
"Biosteres vitalcensis Fischer, 1983","Fischer, M. Neue Opiinae der Gattung Biosteres Foerster, Aspilodemon Fischer und Opius Wesmael aus der neotropischen Region (Hymenoptera, Braconidae). Oesterreichische Akademie der Wissenschaften Mathematisch Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I. 192(1-4) 1983: 59-93. (1983)."
"Chorthippus aethalinus kongausensis (Caudell, 1928)",
Begonia quadrialata var. speciosa Irmsch.,Irmsch. In: Bot. Jahrb. Syst. 81: 182. (1961).
"Trigonia (Scabrotrigonia) gerthi Olsson, 1944","Cooper, M. R. On the Pterotrigoniidae (Bivalvia, Trigoniida): their biogeography, evolution, classification and relationships. Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen. 277(1): 11-42. (2015)."
"Mesamphiascus confusus (Scott T., 1902)",
"Neoclytus erythrocephalus Daecke, 1909","DAECKE V. A. E. & CHAMPLAIN A. B. Doings of Societies. [Coleoptera from hickory]. Entomological News, Philadelphia 20 (7): 327-334. (1909)."
"Trichopus goramy (Lacepède, 1801)",
Hieracium murorum fragile (Jord.) Br.-Bl.,Br.-Bl. In: Cat. Fl. Aigoual: 335. (1933).
"Diplectanum latesi Tripathi, 1959",
"Ophioleila elegans A.H.Clark, 1949",
Lotus purshianus (Lindl.) Ottley,
"Gymnetron subdolum Caldara, 2011",
"Zaozhuangaspis similis Lin, 1984","T. R. Lin. A new genus of Middle Cambrian trilobite from Zaozhuang, Shandong. Acta Palaeontologica Sinica 6: 738--741. (1984)."
"Boletus chrysenteron var. nanus Massee, 1892","Massee, G.E. In: Brit. Fung.-Fl. (London) 1:264. (1892)."
Ranunculus nanus Fisch. ex DC.,DC. In: Prodr. (A. DC.) 1: 33. (1824).
"Xenolpium pacificum norfolkense Beier, 1976",
"Homoneura anthracina Malloch, 1929",
Stereoxylon paniculatum Ruiz & Pav.,Ruiz & Pav. In: Fl. Per. 3: 16. (1802).
Syringodea exsurgens (Andr.) G.Don,G. Don. In: Gen. Hist. 3: 819. (1834).
"Ischnopoda (Dinaraea) tokiokai K.Sawada, 1971","Sawada, K. Aleocharinae (Staphylinidae, Coleoptera) from the campus of the Seto Marine Biological Laboratory. Publications of the Seto Marine Biological Laboratory, 18: 291-315. (1971)."
Juniperus abyssinica hort. ex K.Koch,hort. ex K. Koch. In: Dendrol. 2 (2): 132. (1873).
"Aedes vicarius Lien, 1968",
"Bulbophyllum brachiatum (Schltr.) J.J.Verm., Schuit. & de Vogel","J.J.Verm., Schuit. & de Vogel. In: Phytotaxa 166: 107. (2014)."
"Dyschiriodes salivagans (LeConte, 1875)",
"Gonia vacua Meigen, 1826",
"Metablastothrix claripennis claricoxa Sugonjaev, 1988","Sugonjaev, E.S.; Trjapitzin, V.A. Chalcids of the genus |Metablastothrix| Sugonjaev (Hymenoptera, Chalcidoidea) and peculiarities of their distribution in North America and Eurasia. JOURBOOK: Entomologicheskoe Obozrenie VOLUME: 67(1) PAGES: 182-187. (1988)."
Macrostylis hirta E.Mey. ex Sond.,
Ixiochlamys,
Corydalis shimienensis C.Y.Wu & Z.Y.Su,C. Y. Wu & Z. Y. Su. In: Fl. Reipubl. Popul. Sin. 32: 543. (1999).
"Cetonia clathratus Olivier, 1792",
Cheilanthes aurea Bak.,Bak. In: Syn. Fil. ed. 1: 453. (1868).
"Amaurodon mustialaensis (P.Karst.) Kõljalg & K.H.Larss., 1996","Kõljalg, U. Tomentella (Basidiomycota) and related genera in temperate Eurasia. In: Syn. Fung. (Oslo) 9:33. (1996)."
Puccinellia fasciculata poiformis (Emb. & Maire) Dobignard & Portal,Dobignard & Portal. In: Index Syn. Fl. Afrique N. 1: 427. (2010).
Panicum assurgens H.St.John,H.St.John. In: Phytologia 63: 368. (1987).
Nassella airoides (Ekman) Barkworth,Barkworth. In: Taxon 39: 609. (1990).
"Calandra rubiginea Wiedemann, 1819",
"Amara friebi Jedlicka, 1946",
"Limnobaris griseus T.L.Casey, 1892",
"Parauxa latifrons Breuning, 1940","BREUNING Stephan. Novae species Cerambycidarum. IX. Folia Zoologica et Hydrobiologica, Riga 10 (1): 115-214. (1940)."
Ancistrocerus auctus renimacula Lepeletier,
"Rhopalizus nitens nigripes (Chevrolat, 1858)",
"Barbatia barbata (Linnaeus, 1758)",
"Exapate congelatella Clerck, 1759",
Puelia,
"Tandilia derufata Draudt, 1924",
Rhinogobius brunneus,
"Blacus dadianshanicus Belokobylskij, 2000","Belokobylskij, S.A. New species of the subfamily Euphorinae (Hymenoptera, Braconidae) from east Palaearctic. Part 1. Far Eastern Entomologist. 87: 1-28. (2000)."
"Tedania conuligera Topsent, 1892","Van Soest, R.W.M. Porifera, in: Costello, M.J. et al. (Ed.) (2001). European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels. 50: 85-103. (2001)."
Stachys foeniculum Pursh,Pursh. In: Fl. Amer. Sept. 2: 407. (1813).
"Orodesmus unicolor Cook, 1895",
"Myrmecopora (Myrmecopora) ciliciana Assing, 2001","Assing, V. A revision of the Palaearctic species of Myrmecopora Saulcy, 1864. IV. A new species from Turkey and additional records (Coleoptera: Staphylinidae, Aleocharinae, Falagriini). Beiträge zur Entomologie, 51 (2): 335-340. (2001)."
"Violaceomyces palustris S.A.Albu, Toome & Aime, 2015","S.A. Albu, Toome & Aime. In: Mycologia 107(6):1198. (2015)."
"Muriceides aequatorialis (Wright & Studer, 1889)",
"Lissochilus laocaiensis Nguyen & Doan, 1969",
"Prepona meander megabates Fruhstorfer, 1916",
"Anthopleura stimpsonii Verrill, 1869",
"Steniridia parvitarsalis Valentine, 1935","VALENTINE, J.Manson. Speciation in Steniridia, a group of cychrine beetles (family Carabidae, genus Scaphinotus). Journal of the Elisha MITCHELL Scientific Society, 51 (2): 341-375, pls. 65-73. (Chapel Hill). (1935)."
Cyphostemma triumfettoides (Gilg & Brandt) Descoings,"Descoings. In: Not. Syst., Paris, 16: 125 (1960), et Nat. Monspel., Ser. Bot., Fasc. 18, 229. (1967)."
"Antisolabis dammermani (Borelli, 1926)","Borelli. Dermapteres de Java, Sumatra et iles voisines. Hortus Botanicus Bogoriensis, Java (Treubia) (Treubia) 8(3-4):248-273. (1926)."
"Scaptesyle bicolor Walker, 1864",
Ocotea scabrella Werff,"H. van der Werff. In: Novon, 10(3): 287. (2000)."
Matelea mexicana D.L.Spellman & G.Morillo,"D. L. Spellman & G. Morillo. In: Phytologia, 34(2): 152. (1976)."
"Murex trunculus var. dilatata Dautzenberg, 1895","Dautzenberg, Ph. Campagne de la Melita, 1892: Mollusques recueillis sur les côtes de la Tunisie et de l'Algérie Mem. Soc. Zool. France VIII: 363-373. (1895)."
"Rhipicephalus (Rhipicephalus) ramachandrai Morel, 1969",
"Polydendrorhynchus sinensis Yin & Zeng, 1985",
"Ceratitella asiatica Hardy, 1967",
Gelidocalamus fangianus (A.Camus) Keng f. & T.H.Wen,Keng f. & T.H.Wen. In: J. Bamboo Res. 2(1): 20. (1983).
"Ascochyta aricola A.L.Sm. & Ramsb., 1913","A.L. Sm. & Ramsb. In: J. Bot., Lond. 4:175. (1913)."
"Gonoproktopterus periyarensis (Raj, 1941)",
"Patritius breviauris J.A.Slater, 1979","Slater, J.A. A key to the species of Patritius St†l with the description of four new species from South America (Hemiptera: Lygaeidae). Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Was.) 81(4):591-601. (1979)."
"Laelaroa fulvicosta Hampson, 1910",
"Xylotrechus annosus Beaulne, 1932","BEAULNE J. T. Longicornes nuisibles aux végétaux ligneux du Canada. Le Naturaliste Canadien, Québec 59 (10): 196-203. (1932)."
Sorbus quercoides hort. ex Lavallee,Lavallee. In: Arb. Segrez. 98. (1877).
"Aega ventrosa M.Sars, 1859",
"Platypus latedeclivis Schedl, 1942a",
Prismatocarpus cordifolius Adamson,Adamson. In: J. S. African Bot. 17: 121. (1952).
"Trigonidium hamakua D.Otte, 1994",
"Chelonus shoshoneanorum Viereck, 1911","Viereck, H.L. New species of reared Ichneumon-flies. Proceedings of the United States National Museum. 39:401-408. (1911)."
Combretum psammophilum Engl. & Diels,Engl. & Diels. In: Bot. Jahrb. Syst. 39: 502. (1907).
"Okamejei kenojei (Müller & Henle, 1841)",
"Diaprepes excavatus Rosenschoeld, 1840",
"Cypraea caputdraconis f. poppei Martin, 1989",
"Pamiracris reinigi Ramme, 1930",
Melissa subnuda Waldst. & Kit.,Waldst. & Kit. In: Descr. Icon. Pl. Hung. 3: 291. (1812).
"Cardinalis sinuatus Bonaparte, 1838",
"Polycesta fossulata (Péringuey, 1886)",
Dinapries,
"Stratiomys chamaeleon (Linnaeus, 1758)",
Archenopterus,
